graph_mode,window,model,experiment,test_MSE,test_RMSE,test_MAE,test_IC,test_DailyIC,test_ICIR,test_DirAcc,test_IC_ind,test_DailyIC_ind,test_ICIR_ind,strategy_n,strategy_total_return,strategy_cagr,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_hit_rate,strategy_max_drawdown,excess_total_return,excess_annual_return,excess_sharpe,benchmark_total_return,benchmark_sharpe,alignment_start,alignment_end
dynamic,short,gat_universe,dynamic/short/gat_universe,0.0035100055392831564,0.05924529972312704,0.0364798940718174,0.0812263951468399,0.08073494529919992,0.9918565159714285,0.6008116883116883,0.0802720724354366,0.07963533547312654,0.9423207649728443,13,0.269784163748761,1.5243691726405983,0.944061414238352,0.14492197513476718,6.514273721155413,0.7692307692307693,-0.018531726998878395,0.060076988626178496,0.18570285799833042,2.3132034709122378,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
dynamic,short,gat_industry,dynamic/short/gat_industry,0.005841297097504139,0.07642837887528518,0.0655486062169075,0.05011410890425668,0.05339139658063097,0.7445814272459775,0.39969561688311694,0.045413613324364444,0.04841757907579034,0.6434584492804265,13,0.2528971549109609,1.3966828222333048,0.8884817691828805,0.12245078698532573,7.255827349556802,0.7692307692307693,-0.0076946093958879525,0.04318997978837835,0.1301232129428589,3.054757099313627,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
dynamic,short,gat_two_graph_no_neutral,dynamic/short/gat_two_graph_no_neutral,0.0035938757937401533,0.05994894322454861,0.037100858986377716,0.06530819147867296,0.06560480929058786,0.802244045855511,0.6003043831168831,0.06818221619824122,0.0676890787524187,0.8426080299195086,13,0.2501209878326198,1.3761597018236698,0.8795106088814254,0.12018450073011704,7.318003598953495,0.8461538461538461,-0.01223315796418356,0.0404138127100373,0.12115205264140383,3.1169333487103197,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
dynamic,short,dmfm_ind_neutral,dynamic/short/dmfm_ind_neutral,0.011204592883586884,0.10585174955373616,0.07568179070949554,0.05100937913453605,0.04791112009988904,0.5707876590084088,0.5769886363636364,0.034761346065025844,0.03311209323647284,0.4298935209179891,13,0.2439193221616056,1.330784501313273,0.8642722947630457,0.15588723094678333,5.5442148116550385,0.7692307692307693,-0.015176450488585846,0.03421214703902309,0.1059137385230241,1.3431445614118633,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
dynamic,short,dmfm_full,dynamic/short/dmfm_full,0.006066421512514353,0.07788723587671059,0.06691548973321915,0.06577111300437573,0.06874155523302207,0.7234142699904627,0.3998173701298702,0.0642801513756706,0.06727863497031422,0.6836641771083556,13,0.2765703652505125,1.577076856845573,0.9653308618240632,0.14709105249747717,6.562811574420001,0.7692307692307693,-0.008473009338684112,0.06686319012792996,0.20697230558404167,2.361741324176826,0.20970717512258252,4.201070250243175,2020-09-30,2020-12-28
static,medium,baseline_linear,static/medium/baseline_linear,0.002526027848944068,0.050259604544246744,0.03345272317528725,0.019955329343081644,0.016033594174489976,0.13230711207576806,0.5082064172704421,,,,33,0.007086777881631479,0.010843641847733565,0.05012422551146962,0.2817981149315243,0.17787282048941172,0.6363636363636364,-0.16627666612155778,0.08193829306670941,0.13600751553627322,0.5072136758257921,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,baseline_lstm,static/medium/baseline_lstm,0.0025409123680057264,0.05040746341570588,0.03345033479052495,0.07073943270798613,0.0675879994386953,0.5794016920168774,0.5389537844809175,,,,33,0.22725768752097508,0.3671909109702731,0.3528688446533951,0.28193702338352206,1.2515874659476123,0.6060606060606061,-0.1370256935875942,0.302109202706053,0.4387521346781987,1.5809283212839926,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,baseline_xgboost,static/medium/baseline_xgboost,0.002549144672229886,0.050489054974616886,0.03365278244018555,0.06104307163943997,0.06113461754209225,0.48620032822148307,0.5213991161056073,,,,33,0.14419613678328624,0.22841803301714836,0.24838011388412928,0.2924229315507704,0.8493865804809688,0.6666666666666666,-0.15480887372612762,0.21904765196836418,0.3342634039089329,1.1787274358173492,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,mlp,static/medium/mlp,0.0025746363680809736,0.05074087472719576,0.033533819019794464,0.08349570558926711,0.08115528056927254,0.7675020213673424,0.5409618207341222,0.08548894956956622,0.08332823630307455,0.8354512332160285,33,0.28439036340208834,0.4655816623235953,0.4274090831421993,0.29859914054779935,1.4313808216530357,0.6363636363636364,-0.13240347801917152,0.3592418785871663,0.5132923731670028,1.760721676989416,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
static,medium,gat_universe,static/medium/gat_universe,0.003208542475476861,0.05664399770034651,0.03875823691487312,0.08482985285816401,0.08385408859930236,0.9044696983621003,0.5549405311542026,0.08765264279442388,0.0865524419261732,0.9843703306936762,33,0.27386321231293964,0.4472753962835916,0.4098933143853422,0.28093528970286236,1.4590310630568173,0.6666666666666666,-0.12635030996823793,0.3487147274980176,0.4957766044101458,1.7883719183931976,-0.07485151518507793,-0.32934085533638036,2022-05-16,2022-12-29
